Mean,Std,Variance,RMS,Maximum,Minimum,Peak_to_Peak,Dominant_Frequency,Spectral_Energy
88.09,220.14000522394835,48461.621900000006,237.11067036301847,885.0,0.0,885.0,6.0,247418514.0000001
67.61,102.16211577683777,10437.0979,122.50799973879256,351.0,0.0,351.0,6.0,52194070.0
38.94,71.64088497499176,5132.416400000001,81.53980622984089,299.0,0.0,299.0,6.0,25692340.000000004
1.1,1.3820274961085253,1.91,1.7663521732655694,4.0,0.0,4.0,1.0,9582.000000000002
9.13,15.450343038262934,238.7131,17.946308812677888,71.0,0.0,71.0,6.0,1193878.0
84.59,249.1524872442577,62076.9619,263.1205617202882,1023.0,0.0,1023.0,6.0,310539933.99999994
75.0,113.81792477461536,12954.52,136.30671296748375,404.0,0.0,404.0,6.0,64976121.99999999
70.59,203.39789059869813,41370.70189999999,215.2989781675705,849.0,0.0,849.0,5.5,208043934.00000003
82.63,127.59848392516268,16281.373099999995,152.01674249897607,417.0,0.0,417.0,5.5,81509469.99999999
0.96,1.5869467539901896,2.5184,1.8547236990991407,9.0,0.0,9.0,1.0,12720.0
22.86,33.65858582887879,1132.9004,40.68759024567564,133.0,0.0,133.0,5.5,5679639.999999999
12.5,20.90430577656192,436.99,24.35651863464892,89.0,0.0,89.0,5.0,2185288.0000000005
65.06,114.99407115151634,13223.6364,132.12282164713255,424.0,0.0,424.0,5.0,66183703.99999999
107.73,264.7753332544404,70105.97709999997,285.8526368603235,891.0,0.0,891.0,6.0,351290030.00000006
1.01,1.694077920285841,2.8699,1.972308292331602,8.0,0.0,8.0,1.0,14462.0
17.26,30.750811371409377,945.6124000000002,35.26357894485471,113.0,0.0,113.0,5.5,4728304.0
85.93,133.72421284120537,17882.1651,158.9532321156132,445.0,0.0,445.0,5.5,89678006.0
0.65,0.9937303457175896,0.9875,1.1874342087037917,4.0,0.0,4.0,1.5,4950.000000000001
1.1,1.493318452306808,2.2300000000000004,1.8547236990991407,9.0,0.0,9.0,1.0,11168.0
0.67,1.4003928020380567,1.9611,1.5524174696260025,9.0,0.0,9.0,1.0,9950.0
63.59,111.25323321144424,12377.281899999996,128.14433268779388,398.0,0.0,398.0,5.0,61922053.99999999
74.92,126.58409694744438,16023.5336,147.09364364240898,485.0,0.0,485.0,6.0,80122085.99999999
16.27,31.90826068591016,1018.1371,35.81689545451978,172.0,0.0,172.0,5.0,5090770.0
86.59,143.90580912527471,20708.8819,167.9485337834183,620.0,0.0,620.0,6.5,104500754.0
0.79,1.1339753083731583,1.2858999999999998,1.3820274961085253,5.0,0.0,5.0,10.5,6490.000000000002
71.7,239.8537262583177,57529.80999999999,250.3411672098698,1023.0,0.0,1023.0,5.5,287921372.0
11.48,21.276973468987546,452.7095999999999,24.176434807473164,83.0,0.0,83.0,5.5,2272795.9999999995
11.65,20.34520828106707,413.9275,23.44461558652647,82.0,0.0,82.0,5.5,2072757.9999999995
0.89,1.2238872497088935,1.4979,1.5132745950421556,4.0,0.0,4.0,1.0,7549.999999999999
0.75,1.3143439428094916,1.7275,1.5132745950421556,8.0,0.0,8.0,12.5,8638.000000000002
27.28,43.12657649292371,1859.9016,51.03038310653762,154.0,0.0,154.0,5.0,9329766.000000002
68.73,216.36926098686016,46815.65710000001,227.02306050267228,1023.0,0.0,1023.0,6.5,240213790.0
0.62,0.903105752390051,0.8156,1.095445115010332,4.0,0.0,4.0,25.0,4320.0
0.89,1.1652896635600951,1.3579,1.466287829861518,4.0,0.0,4.0,2.5,6814.0
90.52,259.779270920526,67485.26960000003,275.0984187522713,1007.0,0.0,1007.0,5.5,339694797.99999994
53.04,91.57116576739644,8385.2784,105.82305986882064,346.0,0.0,346.0,5.5,41926680.0
53.49,99.98244795962938,9996.489899999997,113.39166636045172,397.0,0.0,397.0,5.0,50044753.99999999
14.91,23.000476082029262,529.0219000000002,27.410399486326355,71.0,0.0,71.0,5.5,2647490.0
15.36,22.34614955646722,499.35040000000015,27.116046909533107,94.0,0.0,94.0,5.0,2499490.0
13.17,26.331750796329512,693.3611,29.44163718273833,106.0,0.0,106.0,5.5,3467350.0
55.61,187.05148462388635,34988.25789999999,195.1428451160841,949.0,0.0,949.0,12.5,174989030.0
0.9,1.1532562594670797,1.33,1.4628738838327795,5.0,0.0,5.0,1.0,6651.999999999999
88.46,254.70243108380413,64873.32839999999,269.62659364387633,997.0,0.0,997.0,5.5,324702842.0
54.99,86.91909974223157,7554.929899999999,102.85343941745458,302.0,0.0,302.0,5.5,37800413.99999999
57.95,95.23805699403994,9070.2875,111.48313773840418,351.0,0.0,351.0,5.5,45392622.0
73.82,218.65142944879187,47808.44760000001,230.77660193355825,844.0,0.0,844.0,6.0,245048816.0000001
0.74,1.2051555916146264,1.4524,1.4142135623730951,8.0,0.0,8.0,1.0,7423.999999999998
24.26,35.607476742953864,1267.8924000000002,43.08642477625639,117.0,0.0,117.0,5.5,6339661.999999999
23.42,34.89045141582436,1217.3436000000002,42.02189905275581,119.0,0.0,119.0,5.5,6088175.999999999
18.92,29.132003020733062,848.6736000000002,34.73672408273411,122.0,0.0,122.0,5.5,4244426.0
93.75,244.8133319490587,59933.5675,262.15001430478696,1023.0,0.0,1023.0,12.5,321151849.99999994
80.83,213.6913220044277,45663.981100000005,228.467656354242,904.0,0.0,904.0,5.5,228547718.0
1.02,1.6123275101541872,2.599600000000001,1.9078784028338915,9.0,0.0,9.0,11.5,13016.000000000004
0.92,1.7359723500102184,3.0136000000000007,1.96468827043885,9.0,0.0,9.0,1.0,15140.0
